lat,lon,risk,day,tier
37.35833333333334,-104.01666663333334,0.02727601402017316,2018-01-14,Top 5%
40.19166666666667,-102.26666663333334,0.021715224976677994,2018-01-14,Top 5%
37.81666666666667,-103.64166663333334,0.021715224976677994,2018-01-14,Top 5%
37.94166666666667,-105.05833330000002,0.020099161654681535,2018-01-14,Top 5%
40.525000000000006,-104.18333330000002,0.0008771113164005974,2018-01-14,Top 20%
37.150000000000006,-102.22499996666667,0.00040003160107862575,2018-01-14,Top 20%
40.56666666666667,-104.68333330000002,0.0003501406532115526,2018-01-14,Top 20%
40.60833333333334,-104.68333330000002,0.0003501406532115526,2018-01-14,Top 20%
37.31666666666667,-102.09999996666667,0.00029292884706602797,2018-01-14,Top 20%
37.150000000000006,-102.05833330000002,0.00029292884706602797,2018-01-14,Top 20%
37.35833333333334,-102.05833330000002,0.00029292884706602797,2018-01-14,Top 20%
37.35833333333334,-102.14166663333334,0.00029292884706602797,2018-01-14,Top 20%
40.31666666666667,-106.01666663333334,0.00026733343915177367,2018-01-14,Top 20%
40.06666666666667,-104.76666663333334,0.00025674530243402564,2018-01-14,Top 20%
40.44166666666667,-105.09999996666667,0.00023805058929132604,2018-01-14,Top 20%
38.19166666666667,-102.59999996666667,0.0002335295577723158,2018-01-14,Top 20%
37.19166666666667,-102.43333330000002,0.00020483865835194796,2018-01-14,Top 20%
40.56666666666667,-104.55833330000002,0.00020197537869538144,2018-01-14,Top 20%
40.525000000000006,-105.34999996666667,0.00020197537869538144,2018-01-14,Top 20%
39.19166666666667,-102.05833330000002,0.00019980687889680502,2018-01-14,Top 20%
37.23333333333334,-104.34999996666667,0.00019980687889680502,2018-01-14,Top 20%
39.94166666666667,-104.68333330000002,0.00019008465876323532,2018-01-14,Top 20%
39.775000000000006,-104.84999996666667,0.00019008465876323532,2018-01-14,Top 20%
39.94166666666667,-104.72499996666667,0.00019008465876323532,2018-01-14,Top 20%
40.025000000000006,-104.97499996666667,0.00019008465876323532,2018-01-14,Top 20%
39.85833333333334,-104.51666663333334,0.00018155147169053714,2018-01-14,Top 20%
40.400000000000006,-104.97499996666667,0.00017929438359180552,2018-01-14,Top 20%
39.85833333333334,-104.72499996666667,0.00017237850593770817,2018-01-14,Top 20%
37.900000000000006,-104.84999996666667,0.00017237850593770817,2018-01-14,Top 20%
39.81666666666667,-105.51666663333334,0.00016970581481037854,2018-01-14,Top 20%
40.025000000000006,-103.68333330000002,0.00015403706128500527,2018-01-14,Top 20%
39.85833333333334,-103.51666663333334,0.00015403706128500527,2018-01-14,Top 20%
40.44166666666667,-104.55833330000002,0.00015212198638412058,2018-01-14,Top 20%
40.400000000000006,-102.43333330000002,0.00014983575718077456,2018-01-14,Top 20%
40.06666666666667,-107.80833330000002,0.0001497367703804175,2018-01-14,Top 20%
38.35833333333334,-102.55833330000002,0.00014362087716170832,2018-01-14,Top 20%
38.44166666666667,-102.30833330000002,0.0001344526876460025,2018-01-14,Top 20%
37.85833333333334,-103.47499996666667,0.00011861422799184325,2018-01-14,Top 20%
40.19166666666667,-109.05833330000002,0.00011745763663292125,2018-01-14,Top 20%
37.150000000000006,-103.51666663333334,0.0001077762086866294,2018-01-14,Top 20%
40.275000000000006,-105.34999996666667,0.000106029929046559,2018-01-14,Top 20%
37.85833333333334,-102.89166663333334,0.00010301549364664162,2018-01-14,Top 20%
37.85833333333334,-102.84999996666667,0.00010301549364664162,2018-01-14,Top 20%
40.98333333333334,-108.89166663333334,9.97774895756396e-05,2018-01-14,Top 20%
39.275000000000006,-107.93333330000002,9.640422088907248e-05,2018-01-14,Top 20%
39.275000000000006,-108.09999996666667,9.640422088907248e-05,2018-01-14,Top 20%
39.525000000000006,-105.30833330000002,9.629846914744093e-05,2018-01-14,Top 20%
40.98333333333334,-104.72499996666667,9.574768995760464e-05,2018-01-14,Top 20%
39.150000000000006,-108.80833330000002,8.463077403292834e-05,2018-01-14,Top 20%
40.56666666666667,-104.14166663333334,8.170322923116164e-05,2018-01-14,Top 20%
38.900000000000006,-103.09999996666667,8.170322923116164e-05,2018-01-14,Top 20%
39.44166666666667,-105.39166663333334,8.170322923116164e-05,2018-01-14,Top 20%
38.900000000000006,-103.14166663333334,8.170322923116164e-05,2018-01-14,Top 20%
38.94166666666667,-103.14166663333334,8.170322923116164e-05,2018-01-14,Top 20%
40.31666666666667,-104.55833330000002,8.123592074848413e-05,2018-01-14,Top 20%
38.23333333333334,-102.34999996666667,7.873109839509767e-05,2018-01-14,Top 20%
38.35833333333334,-106.05833330000002,7.582086572940779e-05,2018-01-14,Top 20%
37.56666666666667,-105.80833330000002,7.221263116764722e-05,2018-01-14,Top 20%
38.81666666666667,-103.09999996666667,7.221263116764722e-05,2018-01-14,Top 20%
37.48333333333334,-106.14166663333334,7.221263116764722e-05,2018-01-14,Top 20%
38.525000000000006,-105.68333330000002,7.221263116764722e-05,2018-01-14,Top 20%
38.60833333333334,-106.01666663333334,7.221263116764722e-05,2018-01-14,Top 20%
38.44166666666667,-105.51666663333334,7.221263116764722e-05,2018-01-14,Top 20%
38.650000000000006,-105.80833330000002,7.221263116764722e-05,2018-01-14,Top 20%
38.56666666666667,-105.47499996666667,7.221263116764722e-05,2018-01-14,Top 20%
40.650000000000006,-104.01666663333334,7.221263116764722e-05,2018-01-14,Top 20%
37.650000000000006,-105.76666663333334,7.221263116764722e-05,2018-01-14,Top 20%
38.650000000000006,-105.47499996666667,7.221263116764722e-05,2018-01-14,Top 20%
38.94166666666667,-105.47499996666667,7.221263116764722e-05,2018-01-14,Top 20%
38.525000000000006,-105.59999996666667,7.221263116764722e-05,2018-01-14,Top 20%
38.31666666666667,-105.55833330000002,7.221263116764722e-05,2018-01-14,Top 20%
40.60833333333334,-104.09999996666667,7.221263116764722e-05,2018-01-14,Top 20%
37.23333333333334,-105.80833330000002,7.221263116764722e-05,2018-01-14,Top 20%
39.10833333333334,-105.84999996666667,7.221263116764722e-05,2018-01-14,Top 20%
38.650000000000006,-105.51666663333334,7.221263116764722e-05,2018-01-14,Top 20%
38.525000000000006,-105.97499996666667,7.221263116764722e-05,2018-01-14,Top 20%
38.900000000000006,-102.89166663333334,7.220976990868135e-05,2018-01-14,Top 20%
37.94166666666667,-105.97499996666667,7.150846317046336e-05,2018-01-14,Top 20%
37.85833333333334,-105.97499996666667,7.150846317046336e-05,2018-01-14,Top 20%
37.35833333333334,-106.30833330000002,7.150846317046336e-05,2018-01-14,Top 20%
37.85833333333334,-105.93333330000002,7.150846317046336e-05,2018-01-14,Top 20%
39.44166666666667,-107.93333330000002,6.806870027303788e-05,2018-01-14,Top 20%
39.775000000000006,-103.84999996666667,6.578544130528105e-05,2018-01-14,Top 20%
39.98333333333334,-104.09999996666667,6.578544130528105e-05,2018-01-14,Top 20%
39.10833333333334,-103.84999996666667,6.578544130528105e-05,2018-01-14,Top 20%
38.06666666666667,-106.26666663333334,6.479805592819706e-05,2018-01-14,Top 20%
